Nome,"Wagnild e Young Quando eu faço planos, eu levo eles até o fim",Wagnild e Young Eu costumo lidar com os problemas de uma forma ou de outra,Wagnild e Young Eu sou capaz de depender de mim mais do que qualquer outra pessoa,Wagnild e Young Manter interesse nas coisas é importante para mim,Wagnild e Young Eu posso estar por minha conta se eu precisar,Wagnild e Young Eu sinto orgulho de ter realizado coisas em minha vida,Wagnild e Young Eu costumo aceitar as coisas sem muita preocupação,Wagnild e Young Eu sou amigo de mim mesmo,Wagnild e Young Eu sinto que posso lidar com várias coisas ao mesmo tempo,Wagnild e Young Eu sou determinado,Wagnild e Young Eu raramente penso sobre o objetivo das coisas,Wagnild e Young Eu faço as coisas um dia de cada vez,Wagnild e Young Eu posso enfrentar tempos difíceis porque já experimentei dificuldades antes,Wagnild e Young Eu sou disciplinado,Wagnild e Young Eu mantenho interesse nas coisas,Wagnild e Young Eu normalmente posso achar motivo para rir,Wagnild e Young Minha crença em mim mesmo me leva a atravessar tempos difíceis,"Wagnild e Young Em uma emergência, eu sou uma pessoa em quem as pessoas podem contar",Wagnild e Young Eu posso geralmente olhar uma situação em diversas maneiras,Wagnild e Young Às vezes eu me obrigo a fazer coisas querendo ou não,Wagnild e Young Minha vida tem sentido,Wagnild e Young Eu não insisto em coisas as quais eu não posso fazer nada sobre elas,"Wagnild e Young Quando eu estou numa situação difícil, eu normalmente acho uma saída",Wagnild e Young Eu tenho energia suficiente para fazer o que eu tenho que fazer,Wagnild e Young Tudo bem se há pessoas que não gostam de mim,Wagnild e Young Total,Wagnild e Young Resultado
1f83c97efb,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,167.0,Alta
9253fcca2a,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,3. Pouco característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,115.0,Média
2cab56cd4f,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,170.0,Alta
d0289b699c,5. Característico,5. Característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,2. Muito pouco característico,5. Característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,5. Característico,2. Muito pouco característico,7. Totalmente característico,124.0,Média
b55171a0a7,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,160.0,Alta
69aaecd1d6,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,1. Nada característico,6.Muito característico,3. Pouco característico,6.Muito característico,1. Nada característico,3. Pouco característico,3. Pouco característico,7. Totalmente característico,5. Característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,5. Característico,5. Característico,6.Muito característico,125.0,Média
e1568a2935,4. Indiferente,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,161.0,Alta
65fbf10900,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,168.0,Alta
424b48282f,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,170.0,Alta
a7acfdc6da,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,156.0,Alta
fcdc0d31b1,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,154.0,Alta
7703355888,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,3. Pouco característico,7. Totalmente característico,5. Característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,154.0,Alta
c5168b6eeb,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,4. Indiferente,5. Característico,7. Totalmente característico,4. Indiferente,5. Característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,156.0,Alta
00407aa444,3. Pouco característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,5. Característico,5. Característico,1. Nada característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,150.0,Alta
ed07c8b941,6.Muito característico,4. Indiferente,5. Característico,5. Característico,5. Característico,7. Totalmente característico,5. Característico,6.Muito característico,4. Indiferente,6.Muito característico,4. Indiferente,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,3. Pouco característico,7. Totalmente característico,5. Característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,137.0,Alta
b9bcab3e04,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,1. Nada característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,5. Característico,6.Muito característico,1. Nada característico,6.Muito característico,7. Totalmente característico,6.Muito característico,142.0,Alta
7f12c8932c,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,1. Nada característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,144.0,Alta
a024e69d78,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,1. Nada característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,135.0,Alta
2486ad115a,2. Muito pouco característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,45.0,Baixa
55bcecf418,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,147.0,Alta
b570e6a8af,3. Pouco característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,3. Pouco característico,1. Nada característico,4. Indiferente,7. Totalmente característico,1. Nada característico,1. Nada característico,4. Indiferente,5. Característico,4. Indiferente,1. Nada característico,1. Nada característico,5. Característico,4. Indiferente,3. Pouco característico,3. Pouco característico,100.0,Alta
8aca88a3d4,7. Totalmente característico,6.Muito característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,2. Muito pouco característico,7. Totalmente característico,149.0,Alta
47eae2edd8,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,172.0,Alta
0f8e5bde87,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,150.0,Alta
bd68d7f1e4,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,157.0,Alta
4941e786cf,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,139.0,Alta
e534f3401a,7. Totalmente característico,5. Característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,5. Característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,146.0,Alta
8a2429d614,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,145.0,Alta
9ed950e772,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,38.0,Baixa
8d66af658d,7. Totalmente característico,5. Característico,1. Nada característico,4. Indiferente,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,7. Totalmente característico,4. Indiferente,1. Nada característico,1. Nada característico,4. Indiferente,4. Indiferente,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,101.0,Média
9bbbef2d2e,5. Característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,5. Característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,131.0,Alta
7f594ffed3,3. Pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,1. Nada característico,44.0,Baixa
adf790048c,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,6.Muito característico,7. Totalmente característico,4. Indiferente,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,7. Totalmente característico,137.0,Alta
2e61926525,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,5. Característico,2. Muito pouco característico,7. Totalmente característico,1. Nada característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,146.0,Alta
4f669f20f5,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,172.0,Alta
f86b295915,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,119.0,Média
cb00423e72,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
91b8f4e71e,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,123.0,Média
f25efaafa7,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
996667e985,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,162.0,Alta
b51c9ba2fe,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
bb6688ee78,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
c2dd34c303,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,4. Indiferente,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,5. Característico,6.Muito característico,7. Totalmente característico,156.0,Alta
2c9a56aea8,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,6.Muito característico,3. Pouco característico,4. Indiferente,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,145.0,Alta
664ad0d90f,4. Indiferente,4. Indiferente,4. Indiferente,4. Indiferente,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,158.0,Alta
a747345525,2. Muito pouco característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,4. Indiferente,3. Pouco característico,3. Pouco característico,4. Indiferente,4. Indiferente,4. Indiferente,113.0,Média
4ac3e1df73,6.Muito característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,158.0,Alta
cedeaa719a,2. Muito pouco característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,151.0,Alta
34f2c6d181,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,5. Característico,5. Característico,3. Pouco característico,3. Pouco característico,5. Característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,5. Característico,137.0,Alta
387a4fc7d3,6.Muito característico,3. Pouco característico,5. Característico,5. Característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,120.0,Média
bc31565469,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,161.0,Alta
bcabd9a020,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,5. Característico,7. Totalmente característico,140.0,Alta
23bdabe8b2,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,124.0,Média
696b6858fb,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,3. Pouco característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,137.0,Alta
7be2a26021,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,173.0,Alta
9cd0c75ae9,6.Muito característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,4. Indiferente,6.Muito característico,4. Indiferente,7. Totalmente característico,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,3. Pouco característico,5. Característico,4. Indiferente,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,143.0,Alta
2de97fa761,7. Totalmente característico,1. Nada característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,151.0,Alta
